cohort,N,Events_n,Events_pct,OS_median_years,OS_mean_years,Age_median,Age_mean,USC73_median,USC73_mean
TCGA,58,15,25.9,1.84,2.058,67,67.6,8.678,8.721
UPSC,67,26,38.8,2.973,2.997,67.3,68,10.133,10.16
